time,px,py,pz,yaw
0.0,0,0,0,0
0.1,0,0,1,0
0.2,0,0,2,0
0.3,0,0,3,0
0.4,0,0,4,0
0.5,0,0,5,0
0.6,0,0,6,0
0.7,0,0,7,0
0.8,0,0,8,0
0.9,0,0,9,0
1.0,0,0,10,0
1.1,0,0,11,0
1.2,0,0,12,0
1.3,0,0,13,0
1.4,0,0,14,0
1.5,0,0,15,0
1.6,0,0,16,0
1.7,0,0,17,0
1.8,0,0,18,0
1.9,0,0,19,0
2.0,0,0,20,0
2.1,0,0,21,0
2.2,0,0,22,0
2.3,0,0,23,0
2.4,0,0,24,0
2.5,0,0,25,0
2.6,0,0,26,0
2.7,0,0,27,0
2.8,0,0,28,0
2.9,0,0,29,0
3.0,0,0,30,0
3.1,0,0,31,0
3.2,0,0,32,0
3.3,0,0,33,0
3.4,0,0,34,0
3.5,0,0,35,0
3.6,0,0,36,0
3.7,0,0,37,0
3.8,0,0,38,0
3.9,0,0,39,0
4.0,0,0,40,0
4.1,0,0,41,0
4.2,0,0,42,0
4.3,0,0,43,0
4.4,0,0,44,0
4.5,0,0,45,0
4.6,0,0,46,0
4.7,0,0,47,0
4.8,0,0,48,0
4.9,0,0,49,0
5.0,0,0,50,0
5.1,0,0,51,0
5.2,0,0,52,0
5.3,0,0,53,0
5.4,0,0,54,0
5.5,0,0,55,0
5.6,0,0,56,0
5.7,0,0,57,0
5.8,0,0,58,0
5.9,0,0,59,0
6.0,0,0,60,0
6.1,0,0,61,0
6.2,0,0,62,0
6.3,0,0,63,0
6.4,0,0,64,0
6.5,0,0,65,0
6.6,0,0,66,0
6.7,0,0,67,0
6.8,0,0,68,0
6.9,0,0,69,0
7.0,0,0,70,0
7.1,0,0,71,0
7.2,0,0,72,0
7.3,0,0,73,0
7.4,0,0,74,0
7.5,0,0,75,0
7.6,0,0,76,0
7.7,0,0,77,0
7.8,0,0,78,0
7.9,0,0,79,0
8.0,0,0,80,0
8.1,0,0,81,0
8.2,0,0,82,0
8.3,0,0,83,0
8.4,0,0,84,0
8.5,0,0,85,0
8.6,0,0,86,0
8.7,0,0,87,0
8.8,0,0,88,0
8.9,0,0,89,0
9.0,0,0,90,0
9.1,0,0,91,0
9.2,0,0,92,0
9.3,0,0,93,0
9.4,0,0,94,0
9.5,0,0,95,0
9.6,0,0,96,0
9.7,0,0,97,0
9.8,0,0,98,0
9.9,0,0,99,0
10.0,0,0,100,0
10.1,0,0,101,0
10.2,0,0,102,0
10.3,0,0,103,0
10.4,0,0,104,0
10.5,0,0,105,0
10.6,0,0,106,0
10.7,0,0,107,0
10.8,0,0,108,0
10.9,0,0,109,0
11.0,0,0,110,0
11.1,0,0,111,0
11.2,0,0,112,0
11.3,0,0,113,0
11.4,0,0,114,0
11.5,0,0,115,0
11.6,0,0,116,0
11.7,0,0,117,0
11.8,0,0,118,0
11.9,0,0,119,0
12.0,0,0,120,0
12.1,0,0,121,0
12.2,0,0,122,0
12.3,0,0,123,0
12.4,0,0,124,0
12.5,0,0,125,0
12.6,0,0,126,0
12.7,0,0,127,0
12.8,0,0,128,0
12.9,0,0,129,0
13.0,0,0,130,0
13.1,0,0,131,0
13.2,0,0,132,0
13.3,0,0,133,0
13.4,0,0,134,0
13.5,0,0,135,0
13.6,0,0,136,0
13.7,0,0,137,0
13.8,0,0,138,0
13.9,0,0,139,0
14.0,0,0,140,0
14.1,0,0,141,0
14.2,0,0,142,0
14.3,0,0,143,0
14.4,0,0,144,0
14.5,0,0,145,0
14.6,0,0,146,0
14.7,0,0,147,0
14.8,0,0,148,0
14.9,0,0,149,0
15.0,0,0,150,0
15.1,0,0,151,0
15.2,0,0,152,0
15.3,0,0,153,0
15.4,0,0,154,0
15.5,0,0,155,0
15.6,0,0,156,0
15.7,0,0,157,0
15.8,0,0,158,0
15.9,0,0,159,0
16.0,0,0,160,0
16.1,0,0,161,0
16.2,0,0,162,0
16.3,0,0,163,0
16.4,0,0,164,0
16.5,0,0,165,0
16.6,0,0,166,0
16.7,0,0,167,0
16.8,0,0,168,0
16.9,0,0,169,0
17.0,0,0,170,0
17.1,0,0,171,0
17.2,0,0,172,0
17.3,0,0,173,0
17.4,0,0,174,0
17.5,0,0,175,0
17.6,0,0,176,0
17.7,0,0,177,0
17.8,0,0,178,0
17.9,0,0,179,0
18.0,0,0,180,0
18.1,0,0,181,0
18.2,0,0,182,0
18.3,0,0,183,0
18.4,0,0,184,0
18.5,0,0,185,0
18.6,0,0,186,0
18.7,0,0,187,0
18.8,0,0,188,0
18.9,0,0,189,0
19.0,0,0,190,0
19.1,0,0,191,0
19.2,0,0,192,0
19.3,0,0,193,0
19.4,0,0,194,0
19.5,0,0,195,0
19.6,0,0,196,0
19.7,0,0,197,0
19.8,0,0,198,0
19.9,0,0,199,0
20.0,0,0,200,0
20.1,0,0,201,0
20.2,0,0,202,0
20.3,0,0,203,0
20.4,0,0,204,0
20.5,0,0,205,0
20.6,0,0,206,0
20.7,0,0,207,0
20.8,0,0,208,0
20.9,0,0,209,0
21.0,0,0,210,0
21.1,0,0,211,0
21.2,0,0,212,0
21.3,0,0,213,0
21.4,0,0,214,0
21.5,0,0,215,0
21.6,0,0,216,0
21.7,0,0,217,0
21.8,0,0,218,0
21.9,0,0,219,0
22.0,0,0,220,0
22.1,0,0,221,0
22.2,0,0,222,0
22.3,0,0,223,0
22.4,0,0,224,0
22.5,0,0,225,0
22.6,0,0,226,0
22.7,0,0,227,0
22.8,0,0,228,0
22.9,0,0,229,0
23.0,0,0,230,0
23.1,0,0,231,0
23.2,0,0,232,0
23.3,0,0,233,0
23.4,0,0,234,0
23.5,0,0,235,0
23.6,0,0,236,0
23.7,0,0,237,0
23.8,0,0,238,0
23.9,0,0,239,0
24.0,0,0,240,0
24.1,0,0,241,0
24.2,0,0,242,0
24.3,0,0,243,0
24.4,0,0,244,0
24.5,0,0,245,0
24.6,0,0,246,0
24.7,0,0,247,0
24.8,0,0,248,0
24.9,0,0,249,0
25.0,0,0,250,0
25.1,0,0,251,0
25.2,0,0,252,0
25.3,0,0,253,0
25.4,0,0,254,0
25.5,0,0,255,0
25.6,0,0,256,0
25.7,0,0,257,0
25.8,0,0,258,0
25.9,0,0,259,0
26.0,0,0,260,0
26.1,0,0,261,0
26.2,0,0,262,0
26.3,0,0,263,0
26.4,0,0,264,0
26.5,0,0,265,0
26.6,0,0,266,0
26.7,0,0,267,0
26.8,0,0,268,0
26.9,0,0,269,0
27.0,0,0,270,0
27.1,0,0,271,0
27.2,0,0,272,0
27.3,0,0,273,0
27.4,0,0,274,0
27.5,0,0,275,0
27.6,0,0,276,0
27.7,0,0,277,0
27.8,0,0,278,0
27.9,0,0,279,0
28.0,0,0,280,0
28.1,0,0,281,0
28.2,0,0,282,0
28.3,0,0,283,0
28.4,0,0,284,0
28.5,0,0,285,0
28.6,0,0,286,0
28.7,0,0,287,0
28.8,0,0,288,0
28.9,0,0,289,0
29.0,0,0,290,0
29.1,0,0,291,0
29.2,0,0,292,0
29.3,0,0,293,0
29.4,0,0,294,0
29.5,0,0,295,0
29.6,0,0,296,0
29.7,0,0,297,0
29.8,0,0,298,0
29.9,0,0,299,0
30.0,0,0,300,0
30.1,0,0,301,0
30.2,0,0,302,0
30.3,0,0,303,0
30.4,0,0,304,0
30.5,0,0,305,0
30.6,0,0,306,0
30.7,0,0,307,0
30.8,0,0,308,0
30.9,0,0,309,0
31.0,0,0,310,0
31.1,0,0,311,0
31.2,0,0,312,0
31.3,0,0,313,0
31.4,0,0,314,0
31.5,0,0,315,0
31.6,0,0,316,0
31.7,0,0,317,0
31.8,0,0,318,0
31.9,0,0,319,0
32.0,0,0,320,0
32.1,0,0,321,0
32.2,0,0,322,0
32.3,0,0,323,0
32.4,0,0,324,0
32.5,0,0,325,0
32.6,0,0,326,0
32.7,0,0,327,0
32.8,0,0,328,0
32.9,0,0,329,0
33.0,0,0,330,0
33.1,0,0,331,0
33.2,0,0,332,0
33.3,0,0,333,0
33.4,0,0,334,0
33.5,0,0,335,0
33.6,0,0,336,0
33.7,0,0,337,0
33.8,0,0,338,0
33.9,0,0,339,0
34.0,0,0,340,0
34.1,0,0,341,0
34.2,0,0,342,0
34.3,0,0,343,0
34.4,0,0,344,0
34.5,0,0,345,0
34.6,0,0,346,0
34.7,0,0,347,0
34.8,0,0,348,0
34.9,0,0,349,0
35.0,0,0,350,0
35.1,0,0,351,0
35.2,0,0,352,0
35.3,0,0,353,0
35.4,0,0,354,0
35.5,0,0,355,0
35.6,0,0,356,0
35.7,0,0,357,0
35.8,0,0,358,0
35.9,0,0,359,0
36.0,0,0,360,0
36.1,0,0,361,0
36.2,0,0,362,0
36.3,0,0,363,0
36.4,0,0,364,0
36.5,0,0,365,0
36.6,0,0,366,0
36.7,0,0,367,0
36.8,0,0,368,0
36.9,0,0,369,0
37.0,0,0,370,0
37.1,0,0,371,0
37.2,0,0,372,0
37.3,0,0,373,0
37.4,0,0,374,0
37.5,0,0,375,0
37.6,0,0,376,0
37.7,0,0,377,0
37.8,0,0,378,0
37.9,0,0,379,0
38.0,0,0,380,0
38.1,0,0,381,0
38.2,0,0,382,0
38.3,0,0,383,0
38.4,0,0,384,0
38.5,0,0,385,0
38.6,0,0,386,0
38.7,0,0,387,0
38.8,0,0,388,0
38.9,0,0,389,0
39.0,0,0,390,0
39.1,0,0,391,0
39.2,0,0,392,0
39.3,0,0,393,0
39.4,0,0,394,0
39.5,0,0,395,0
39.6,0,0,396,0
39.7,0,0,397,0
39.8,0,0,398,0
39.9,0,0,399,0
40.0,0,0,400,0
40.1,0,0,401,0
40.2,0,0,402,0
40.3,0,0,403,0
40.4,0,0,404,0
40.5,0,0,405,0
40.6,0,0,406,0
40.7,0,0,407,0
40.8,0,0,408,0
40.9,0,0,409,0
41.0,0,0,410,0
41.1,0,0,411,0
41.2,0,0,412,0
41.3,0,0,413,0
41.4,0,0,414,0
41.5,0,0,415,0
41.6,0,0,416,0
41.7,0,0,417,0
41.8,0,0,418,0
41.9,0,0,419,0
42.0,0,0,420,0
42.1,0,0,421,0
42.2,0,0,422,0
42.3,0,0,423,0
42.4,0,0,424,0
42.5,0,0,425,0
42.6,0,0,426,0
42.7,0,0,427,0
42.8,0,0,428,0
42.9,0,0,429,0
43.0,0,0,430,0
43.1,0,0,431,0
43.2,0,0,432,0
43.3,0,0,433,0
43.4,0,0,434,0
43.5,0,0,435,0
43.6,0,0,436,0
43.7,0,0,437,0
43.8,0,0,438,0
43.9,0,0,439,0
44.0,0,0,440,0
44.1,0,0,441,0
44.2,0,0,442,0
44.3,0,0,443,0
44.4,0,0,444,0
44.5,0,0,445,0
44.6,0,0,446,0
44.7,0,0,447,0
44.8,0,0,448,0
44.9,0,0,449,0
45.0,0,0,450,0
45.1,0,0,451,0
45.2,0,0,452,0
45.3,0,0,453,0
45.4,0,0,454,0
45.5,0,0,455,0
45.6,0,0,456,0
45.7,0,0,457,0
45.8,0,0,458,0
45.9,0,0,459,0
46.0,0,0,460,0
46.1,0,0,461,0
46.2,0,0,462,0
46.3,0,0,463,0
46.4,0,0,464,0
46.5,0,0,465,0
46.6,0,0,466,0
46.7,0,0,467,0
46.8,0,0,468,0
46.9,0,0,469,0
47.0,0,0,470,0
47.1,0,0,471,0
47.2,0,0,472,0
47.3,0,0,473,0
47.4,0,0,474,0
47.5,0,0,475,0
47.6,0,0,476,0
47.7,0,0,477,0
47.8,0,0,478,0
47.9,0,0,479,0
48.0,0,0,480,0
48.1,0,0,481,0
48.2,0,0,482,0
48.3,0,0,483,0
48.4,0,0,484,0
48.5,0,0,485,0
48.6,0,0,486,0
48.7,0,0,487,0
48.8,0,0,488,0
48.9,0,0,489,0
49.0,0,0,490,0
49.1,0,0,491,0
49.2,0,0,492,0
49.3,0,0,493,0
49.4,0,0,494,0
49.5,0,0,495,0
49.6,0,0,496,0
49.7,0,0,497,0
49.8,0,0,498,0
49.9,0,0,499,0
50.0,0,0,500,0
50.1,0,0,501,0
50.2,0,0,502,0
50.3,0,0,503,0
50.4,0,0,504,0
50.5,0,0,505,0
50.6,0,0,506,0
50.7,0,0,507,0
50.8,0,0,508,0
50.9,0,0,509,0
51.0,0,0,510,0
51.1,0,0,511,0
51.2,0,0,512,0
51.3,0,0,513,0
51.4,0,0,514,0
51.5,0,0,515,0
51.6,0,0,516,0
51.7,0,0,517,0
51.8,0,0,518,0
51.9,0,0,519,0
52.0,0,0,520,0
52.1,0,0,521,0
52.2,0,0,522,0
52.3,0,0,523,0
52.4,0,0,524,0
52.5,0,0,525,0
52.6,0,0,526,0
52.7,0,0,527,0
52.8,0,0,528,0
52.9,0,0,529,0
53.0,0,0,530,0
53.1,0,0,531,0
53.2,0,0,532,0
53.3,0,0,533,0
53.4,0,0,534,0
53.5,0,0,535,0
53.6,0,0,536,0
53.7,0,0,537,0
53.8,0,0,538,0
53.9,0,0,539,0
54.0,0,0,540,0
54.1,0,0,541,0
54.2,0,0,542,0
54.3,0,0,543,0
54.4,0,0,544,0
54.5,0,0,545,0
54.6,0,0,546,0
54.7,0,0,547,0
54.8,0,0,548,0
54.9,0,0,549,0
55.0,0,0,550,0
55.1,0,0,551,0
55.2,0,0,552,0
55.3,0,0,553,0
55.4,0,0,554,0
55.5,0,0,555,0
55.6,0,0,556,0
55.7,0,0,557,0
55.8,0,0,558,0
55.9,0,0,559,0
56.0,0,0,560,0
56.1,0,0,561,0
56.2,0,0,562,0
56.3,0,0,563,0
56.4,0,0,564,0
56.5,0,0,565,0
56.6,0,0,566,0
56.7,0,0,567,0
56.8,0,0,568,0
56.9,0,0,569,0
57.0,0,0,570,0
57.1,0,0,571,0
57.2,0,0,572,0
57.3,0,0,573,0
57.4,0,0,574,0
57.5,0,0,575,0
57.6,0,0,576,0
57.7,0,0,577,0
57.8,0,0,578,0
57.9,0,0,579,0
58.0,0,0,580,0
58.1,0,0,581,0
58.2,0,0,582,0
58.3,0,0,583,0
58.4,0,0,584,0
58.5,0,0,585,0
58.6,0,0,586,0
58.7,0,0,587,0
58.8,0,0,588,0
58.9,0,0,589,0
59.0,0,0,590,0
59.1,0,0,591,0
59.2,0,0,592,0
59.3,0,0,593,0
59.4,0,0,594,0
59.5,0,0,595,0
59.6,0,0,596,0
59.7,0,0,597,0
59.8,0,0,598,0
59.9,0,0,599,0
60.0,0,0,600,0
60.1,0,0,601,0
60.2,0,0,602,0
60.3,0,0,603,0
60.4,0,0,604,0
60.5,0,0,605,0
60.6,0,0,606,0
60.7,0,0,607,0
60.8,0,0,608,0
60.9,0,0,609,0
61.0,0,0,610,0
61.1,0,0,611,0
61.2,0,0,612,0
61.3,0,0,613,0
61.4,0,0,614,0
61.5,0,0,615,0
61.6,0,0,616,0
61.7,0,0,617,0
61.8,0,0,618,0
61.9,0,0,619,0
62.0,0,0,620,0
62.1,0,0,621,0
62.2,0,0,622,0
62.3,0,0,623,0
62.4,0,0,624,0
62.5,0,0,625,0
62.6,0,0,626,0
62.7,0,0,627,0
62.8,0,0,628,0
62.9,0,0,629,0
63.0,0,0,630,0
63.1,0,0,631,0
63.2,0,0,632,0
63.3,0,0,633,0
63.4,0,0,634,0
63.5,0,0,635,0
63.6,0,0,636,0
63.7,0,0,637,0
63.8,0,0,638,0
63.9,0,0,639,0
64.0,0,0,640,0
64.1,0,0,641,0
64.2,0,0,642,0
64.3,0,0,643,0
64.4,0,0,644,0
64.5,0,0,645,0
64.6,0,0,646,0
64.7,0,0,647,0
64.8,0,0,648,0
64.9,0,0,649,0
65.0,0,0,650,0
65.1,0,0,651,0
65.2,0,0,652,0
65.3,0,0,653,0
65.4,0,0,654,0
65.5,0,0,655,0
65.6,0,0,656,0
65.7,0,0,657,0
65.8,0,0,658,0
65.9,0,0,659,0
66.0,0,0,660,0
66.1,0,0,661,0
66.2,0,0,662,0
66.3,0,0,663,0
66.4,0,0,664,0
66.5,0,0,665,0
66.6,0,0,666,0
66.7,0,0,667,0
66.8,0,0,668,0
66.9,0,0,669,0
67.0,0,0,670,0
67.1,0,0,671,0
67.2,0,0,672,0
67.3,0,0,673,0
67.4,0,0,674,0
67.5,0,0,675,0
67.6,0,0,676,0
67.7,0,0,677,0
67.8,0,0,678,0
67.9,0,0,679,0
68.0,0,0,680,0
68.1,0,0,681,0
68.2,0,0,682,0
68.3,0,0,683,0
68.4,0,0,684,0
68.5,0,0,685,0
68.6,0,0,686,0
68.7,0,0,687,0
68.8,0,0,688,0
68.9,0,0,689,0
69.0,0,0,690,0
69.1,0,0,691,0
69.2,0,0,692,0
69.3,0,0,693,0
69.4,0,0,694,0
69.5,0,0,695,0
69.6,0,0,696,0
69.7,0,0,697,0
69.8,0,0,698,0
69.9,0,0,699,0
70.0,0,0,700,0
70.1,0,0,701,0
70.2,0,0,702,0
70.3,0,0,703,0
70.4,0,0,704,0
70.5,0,0,705,0
70.6,0,0,706,0
70.7,0,0,707,0
70.8,0,0,708,0
70.9,0,0,709,0
71.0,0,0,710,0
71.1,0,0,711,0
71.2,0,0,712,0
71.3,0,0,713,0
71.4,0,0,714,0
71.5,0,0,715,0
71.6,0,0,716,0
71.7,0,0,717,0
71.8,0,0,718,0
71.9,0,0,719,0
72.0,0,0,720,0
72.1,0,0,721,0
72.2,0,0,722,0
72.3,0,0,723,0
72.4,0,0,724,0
72.5,0,0,725,0
72.6,0,0,726,0
72.7,0,0,727,0
72.8,0,0,728,0
72.9,0,0,729,0
73.0,0,0,730,0
73.1,0,0,731,0
73.2,0,0,732,0
73.3,0,0,733,0
73.4,0,0,734,0
73.5,0,0,735,0
